snippet_number	original_error	original_error_type	lexecutor_error	lexecutor_error_type	action
764	ModuleNotFoundError: No module named 'django'	ModuleNotFoundError	TypeError: unsupported operand type(s) for |: 'DummyObject' and 'DummyObject'	TypeError	
765			SyntaxError	SyntaxError	
766			SyntaxError	SyntaxError	
767			SyntaxError	SyntaxError	
768	NameError: name 'os' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
769			SyntaxError	SyntaxError	
770			null	null	
771			SyntaxError	SyntaxError	
772	NameError: name 'REDIS_URL' is not defined	NameError	NameError: name 'IsAuthenticated' is not defined	NameError	
773			SyntaxError	SyntaxError	
774	NameError: name 'np' is not defined	NameError	TypeError: 'DummyObject' object is not subscriptable	TypeError	
775			null	null	
776			SyntaxError	SyntaxError	
777			null	null	
778			SyntaxError	SyntaxError	
779	NameError: name 'command' is not defined	NameError	TypeError: 'DummyResource' object is not callable	TypeError	
780			null	null	
781			SyntaxError	SyntaxError	
782			SyntaxError	SyntaxError	
783			SyntaxError	SyntaxError	
784			null	null	
785			null	null	
786			null	null	
787			SyntaxError	SyntaxError	
788	NameError: name 'data' is not defined	NameError	TypeError: Object of type DummyObject is not JSON serializable	TypeError	
789			null	null	
790			IndentationError	IndentationError	
791			SyntaxError	SyntaxError	
792			null	null	
793	TypeError: cannot unpack non-iterable PathCollection object	TypeError	TypeError: cannot unpack non-iterable DummyObject object	TypeError	
794			SyntaxError	SyntaxError	
795			SyntaxError	SyntaxError	
796			null	null	
797			null	null	
798	FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\Bob\\SecretPasswordFile.txt'	FileNotFoundError	FileNotFoundError: [Errno 2] No such file or directory: 'C:\\Users\\Bob\\SecretPasswordFile.txt'	FileNotFoundError	
799			SyntaxError	SyntaxError	
800			SyntaxError	SyntaxError	
801			null	null	
802			SyntaxError	SyntaxError	
803			SyntaxError	SyntaxError	
804			null	null	
805			SyntaxError	SyntaxError	
806	NameError: name 'os' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
807			null	null	
808			null	null	
809			SyntaxError	SyntaxError	
810			SyntaxError	SyntaxError	
811			SyntaxError	SyntaxError	
812	NameError: name 'keys' is not defined	NameError	TypeError: 'DummyObject' object is not iterable	TypeError	
813			null	null	
814			SyntaxError	SyntaxError	
815			null	null	
816			SyntaxError	SyntaxError	
817			null	null	
818			SyntaxError	SyntaxError	
819			null	null	
820			SyntaxError	SyntaxError	
821			null	null	
822			SyntaxError	SyntaxError	
823			null	null	
